No,b,h,t,L,fy,fc,N,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
1,199,199,1.8,796,192.4,27.7,1403,,,,,
2,197,197,1.55,797,192.4,27.7,1413,,,,,
3,199,199,1.5,798,192.4,27.7,1362,,,,,
4,199,199,1.63,798,192.4,25.4,1163,,,,,
5,198,198,1.66,794,192.4,25.6,1310,,,,,
6,199,199,1.68,796,192.4,25.6,1110,,,,,
7,199,199,1.91,792,246.7,27.6,1360,,,,,
8,199,199,1.86,797,246.7,27.6,1417,,,,No,
9,199,199,1.62,798,246.7,27.6,1360,,,,b (mm),bề rộng
10,198,198,1.72,797,246.7,25.7,1210,,,,h (mm),bề cao mc
11,199,199,1.69,797,246.7,25.7,1160,,,,t (mm),bề dày tấm thép
12,199,199,1.66,796,246.7,25.8,1065,,,,L (mm),chiều cao cột
13,150,150,1.52,595,246.7,37.1,905,,,,fy (MPa),Giới hạn chảy của thép
14,149,149,1.47,596,246.7,37.4,1000,,,,fc (MPa),Cường độ chịu nén của bê tông
15,150,150,1.6,598,246.7,37.4,950,,,,N Test (kN),Khả năng nén đúng tâm của cột CFST
16,148,148,1.57,598,246.7,25.8,660,,,,,
17,149,149,1.64,595,246.7,25.9,710,,,,,
18,200,200,2.93,793,256.4,27.6,1764,,,,,
19,201,201,2.92,796,256.4,27.6,1760,,,,,
20,198,198,2.92,797,256.4,27.6,1760,,,,,
21,199,199,2.91,793,256.4,25.8,1546,,,,,
22,200,200,2.93,792,256.4,25.9,1560,,,,,
23,200,200,3.93,794,256.4,25.9,1509,,,,,
24,199,199,3.99,796,279,36.2,2100,,,,,
25,200,200,3.96,796,279,36.4,2100,,,,,
26,200,200,4.93,796,294,36,2439,,,,,
27,200,200,4.92,796,294,36,2465,,,,,
28,149,149,3.91,598,279,37,1300,,,,,
29,149,149,3.96,598,279,37,1340,,,,,
30,149,149,3.94,597,279,37,1350,,,,,
31,198,198,5.66,796,234.7,35.9,2330,,,,,
32,198,198,5.96,797,234.7,36,2800,,,,,
33,198,198,5.69,796,234.7,36.5,2190,,,,,
34,150,150,4.93,595,294.9,36.9,1645,,,,,
35,150,150,4.95,594,294.9,36.9,1630,,,,,
36,150,150,4.96,595,294.9,36.9,1650,,,,,
37,199,199,7.83,797,238.3,35.7,2700,,,,,
38,200,200,7.8,796,238.3,35.7,2590,,,,,
39,99,99,4.9,398,294.9,37.1,960,,,,,
40,99,99,4.92,397,294.9,37.4,980,,,,,
41,99,99,4.86,399,294.9,37.9,900,,,,,
42,149,149,7.67,596,238.3,36.6,1845,,,,,
43,149,149,7.67,596,238.3,36.6,1850,,,,,
44,149,149,7.58,598,238.3,36.6,1750,,,,,
45,98,98,5.74,399,234.7,37.9,950,,,,,
46,99,99,5.84,398,234.7,37.9,950,,,,,
47,99,99,5.85,395,234.7,38,850,,,,,
48,99,99,7.72,396,238.3,38,1100,,,,,
49,100,100,7.78,398,238.3,38,1050,,,,,
50,99,99,7.82,397,238.3,38,1000,,,,,
51,200,200,5,600,227,24,2061,,,,,
52,200,200,5,600,227,28.8,2530,,,,,
53,200,200,5,600,227,36.8,2468,,,,,
54,300,300,5,900,227,24,3621,,,,,
55,300,300,5,900,227,28.8,4603,,,,,
56,300,300,5,900,227,36.8,4872,,,,,
57,80.2,80.2,1.59,240,279.9,32.9,353,,,,,
58,80.9,80.9,1.6,240,279.9,32.9,347,,,,,
59,110,110,1.54,330,279.9,32.9,510,,,,,
60,109.8,109.8,1.53,330,279.9,32.9,522,,,,,
61,149.3,149.3,3.63,450,279.9,41.8,1771,,,,,
62,149.3,149.3,3.63,450,279.9,41.8,1785,,,,,
63,120,120,5.8,360,300,74.7,1697,,,,,
64,120,120,5.8,360,300,92,1919,,,,,
65,200,200,5.8,600,300,74.7,3996,,,,,
66,200,200,5.8,600,300,74.7,3862,,,,,
67,100,130,5.8,390,300,74.7,1601,,,,,
68,100,130,5.8,390,300,74.7,1566,,,,,
69,100,130,5.8,390,300,92,1854,,,,,
70,100,130,5.8,390,300,92,1779,,,,,
71,170,220,5.8,660,300,74.7,3684,,,,,
72,170,220,5.8,660,300,74.7,3717,,,,,
73,120,120,4,360,495,56,1739,,,,,
74,120,120,4,360,495,56,1718,,,,,
75,130,130,4,390,495,56,1963,,,,,
76,130,130,4,390,495,56,1988,,,,,
77,98.2,100.3,4.18,300,550,56.6,1490,,,,,
78,100.6,101.5,4.18,300,550,56.6,1535,,,,,
79,101.1,101.2,4.18,300,550,65.7,1740,,,,,
80,100.4,100.7,4.18,300,550,65.7,1775,,,,,
81,181.2,182.8,4.18,540,550,56.6,3590,,,,,
82,180.4,181.8,4.18,540,550,65.7,4210,,,,,
83,120,120,4,360,495,58.4,1701,,,,,
84,120,120,4,360,495,58.4,1657,,,,,
85,130,130,4,390,495,58.4,2020,,,,,
86,130,130,4,390,495,58.4,2018,,,,,
87,108,108,4,320,495,77.6,1749,,,,,
88,108,108,4,320,495,77.6,1824,,,,,
89,140,140,4,420,495,77.6,2752,,,,,
90,140,140,4,420,495,77.6,2828,,,,,
91,125,160,4,480,495,77.6,2580,,,,,
92,125,160,4,480,495,77.6,2674,,,,,
93,101.3,101.3,4.97,300,347.3,49.4,1310,,,,,
94,103.6,103.6,4.9,300,347.3,49.4,1340,,,,,
95,102,102,4.97,300,347.3,49.4,1370,,,,,
96,142,142,5.11,420,347.3,49.4,2160,,,,,
97,142,142,5.08,420,347.3,49.4,2250,,,,,
98,141.4,141.4,5.07,420,347.3,49.4,2280,,,,,
99,142.1,142.1,3.02,420,255.1,44.9,1360,,,,,
100,142.1,142.1,3.02,420,255.1,44.9,1400,,,,,
101,142.1,142.1,2.01,420,305.1,44.9,1328,,,,,
102,142.1,142.1,2.01,420,305.1,44.9,1364,,,,,
103,140.9,140.9,2.02,420,305.1,44.9,1280,,,,,
104,103.5,103.5,5.01,300,347.3,58.6,1500,,,,,
105,102.1,102.1,4.97,300,347.3,58.6,1330,,,,,
106,101.9,101.9,5.03,300,347.3,58.6,1440,,,,,
107,142.3,142.3,5.09,420,347.3,58.6,2520,,,,,
108,142.4,142.4,5.1,420,347.3,58.6,2610,,,,,
109,143.2,143.2,2.03,420,305.1,58.6,1990,,,,,
110,142.3,142.3,2.01,420,305.1,58.6,1855,,,,,
111,140.5,140.5,2,420,305.1,58.6,1780,,,,,
